etape,depart,arrivee,distance_km,d_plus_m,d_minus_m,alt_min_m,alt_max_m,pente_moy_pct,km_start,km_end,score_effort,difficulte
1,Le Puy-en-Velay,Saint-Privat-d'Allier,23.4,842.0,637.0,640.0,1214.0,2.2,0.0,23.4,0.51,Modéré
2,Saint-Privat-d'Allier,Saugues,19.5,1168.0,1095.0,595.0,1102.0,2.9,23.4,42.9,0.6,Difficile
3,Saugues,Saint-Alban-sur-Limagnole,32.3,1153.0,1150.0,928.0,1332.0,2.2,42.9,75.2,0.701,Difficile
4,Saint-Alban-sur-Limagnole,Aumont-Aubrac,15.9,604.0,525.0,920.0,1108.0,2.1,75.2,91.1,0.359,Facile
5,Aumont-Aubrac,Nasbinals,25.1,675.0,536.0,1016.0,1255.0,2.3,91.1,116.2,0.462,Modéré
6,Nasbinals,Saint-Chély-d'Aubrac,16.4,668.0,1026.0,821.0,1370.0,1.6,116.2,132.6,0.387,Modéré
7,Saint-Chély-d'Aubrac,Saint-Côme-d'Olt,16.2,715.0,1163.0,367.0,918.0,1.3,132.6,148.8,0.403,Modéré
8,Saint-Côme-d'Olt,Espalion,8.2,410.0,443.0,336.0,520.0,1.9,148.8,157.0,0.222,Facile
9,Espalion,Golinhac,26.6,1602.0,1299.0,313.0,662.0,0.8,157.0,183.6,0.822,Difficile
10,Golinhac,Conques,20.5,965.0,1289.0,319.0,678.0,1.0,183.6,204.1,0.532,Modéré
11,Conques,Decazeville,17.8,860.0,930.0,226.0,636.0,0.0,204.1,221.9,0.47,Modéré
12,Decazeville,Figeac,29.0,1043.0,1090.0,182.0,415.0,2.2,221.9,250.9,0.632,Difficile
13,Figeac,Cajarc,30.7,993.0,1042.0,153.0,399.0,2.5,250.9,281.6,0.628,Difficile
14,Cajarc,Limogne-en-Quercy,17.9,594.0,438.0,144.0,367.0,1.8,281.6,299.5,0.372,Modéré
15,Limogne-en-Quercy,Cahors,40.5,830.0,1010.0,113.0,327.0,2.3,299.5,340.0,0.648,Difficile
16,Cahors,Lauzerte,48.0,1542.0,1457.0,115.0,304.0,1.9,340.0,388.0,0.978,Difficile
17,Lauzerte,Moissac,26.7,831.0,964.0,73.0,230.0,2.1,388.0,414.7,0.534,Modéré
18,Moissac,Auvillar,22.1,677.0,645.0,56.0,189.0,1.7,414.7,436.8,0.438,Modéré
19,Auvillar,Lectoure,33.0,966.0,892.0,65.0,216.0,2.0,436.8,469.8,0.637,Difficile
20,Lectoure,Condom,31.8,785.0,882.0,75.0,217.0,2.1,469.8,501.6,0.559,Difficile
21,Condom,Éauze,33.7,743.0,671.0,73.0,177.0,1.8,501.6,535.3,0.559,Difficile
22,Éauze,Nogaro,20.5,372.0,429.0,95.0,179.0,1.6,535.3,555.8,0.31,Facile
23,Nogaro,Aire-sur-l'Adour,27.8,356.0,378.0,80.0,164.0,1.1,555.8,583.6,0.365,Facile
24,Aire-sur-l'Adour,Miramont-Sensacq,18.0,304.0,171.0,83.0,219.0,0.8,583.6,601.6,0.264,Facile
25,Miramont-Sensacq,Arzacq-Arraziguet,15.9,353.0,338.0,112.0,237.0,1.8,601.6,617.5,0.265,Facile
26,Arzacq-Arraziguet,Estaing,8.8,279.0,276.0,103.0,240.0,3.2,617.5,626.3,0.178,Facile
27,Estaing,Arthez-de-Béarn,21.3,407.0,431.0,110.0,246.0,1.2,626.3,647.6,0.33,Facile
28,Arthez-de-Béarn,Navarrenx,31.7,731.0,812.0,72.0,262.0,1.4,647.6,679.3,0.538,Difficile
29,Navarrenx,Aroue,19.4,406.0,425.0,99.0,191.0,1.3,679.3,698.7,0.314,Facile
30,Aroue,Saint-Palais,16.5,608.0,569.0,65.0,212.0,2.9,698.7,715.2,0.365,Facile
31,Saint-Palais,Ostabat-Asmé,7.0,354.0,338.0,123.0,296.0,3.4,715.2,722.2,0.191,Facile
32,Ostabat-Asmé,Saint-Jean-Pied-de-Port,22.4,775.0,765.0,139.0,286.0,1.5,722.2,744.6,0.477,Modéré
