lon,lat,time,elevation,distance_m,place_name,elevation_diff,slope
3.88478,45.04559,,680.0,0.0,Rue du Cloître,0.0,
3.88396,45.04557,,662.0,64.46094593646623,Rue du Cloître,-18.0,-0.2792388435897465
3.88319,45.04553,,652.0,125.11863415670156,Rue du Cloître,-10.0,-0.1648595634520739
3.88284,45.04545,,652.0,154.0192076512512,Rue du Cloître,0.0,0.0
3.8825,45.04535,,640.0,182.95305936669067,Rue du Cloître,-12.0,-0.4147391131335843
3.88264,45.04486,,649.0,238.53768600809315,Rue du Cloître,9.0,0.1619152730495504
3.88272,45.04442,,649.0,287.865516815942,Rue du Cloître,0.0,0.0
3.88281,45.04422,,649.0,311.2015503517056,Rue du Cloître,0.0,0.0
3.88288,45.04394,,647.0,342.81812814384506,Rue du Cloître,-2.0,-0.0632579532531582
3.88277,45.04374,,647.0,366.6773419052668,Rue du Cloître,0.0,0.0
3.88257,45.04347,,647.0,400.5634476620621,Rue du Cloître,0.0,0.0
3.88244,45.04321,,643.0,431.2252780926803,Rue du Cloître,-4.0,-0.1304553558552621
3.88176,45.04311,,643.0,485.7960144543216,Rue du Cloître,0.0,0.0
3.88084,45.04299,,642.0,559.2994814864338,Rue du Cloître,-1.0,-0.0136048004315649
3.88016,45.04292,,645.0,613.2895521773867,Rue du Cloître,3.0,0.0555657727727834
3.87907,45.04273,,656.0,701.4960777113274,Rue du Cloître,11.0,0.1247073267359039
3.87815,45.0424,,666.0,782.55948319276,Rue du Cloître,10.0,0.1233602257468751
3.8767,45.04169,,678.0,921.165961292408,Rue du Cloître,12.0,0.0865760400561716
3.87613,45.04131,,682.0,982.7377029469428,Rue du Cloître,4.0,0.0649648668774565
3.87577,45.0418,,698.0,1044.127575526314,Rue du Cloître,16.0,0.2606293078604046
3.87479,45.04169,,703.0,1122.091021507008,Rue du Cloître,5.0,0.0641326192949212
3.8745,45.04157,,699.0,1148.4957534665473,Rue du Cloître,-4.0,-0.151487998671197
3.87318,45.04098,,692.0,1271.2161087978802,Rue du Cloître,-7.0,-0.0570402520519166
3.87315,45.0408,,708.0,1291.3695129308333,Rue du Cloître,16.0,0.7939105420824785
3.87284,45.04057,,708.0,1326.687122342468,Rue du Cloître,0.0,0.0
3.87317,45.04026,,708.0,1369.8206053914028,Rue du Cloître,0.0,0.0
3.87339,45.04013,,713.0,1392.3539892910185,Rue du Cloître,5.0,0.221892993181786
3.87313,45.04006,,708.0,1414.2152326206535,Rue du Cloître,-5.0,-0.2287152621928878
3.87274,45.03989,,731.0,1450.219710403018,Rue du Cloître,23.0,0.6388094319553129
3.87246,45.03965,,723.0,1484.8057266924604,Rue du Cloître,-8.0,-0.2313073565064521
3.87218,45.03893,,740.0,1567.8338874593746,Rue du Cloître,17.0,0.2047498082936495
3.87218,45.03861,,740.0,1603.4162639858666,Rue du Cloître,0.0,0.0
3.87209,45.03844,,740.0,1623.598848820625,Rue du Cloître,0.0,0.0
3.87188,45.03823,,756.0,1652.191407250093,Rue du Cloître,16.0,0.5595861608351254
